"ID";"broodID";"nestsiteID";"species";"weight_nest";"feathers_nest_nb";"lining_nest_material";"maleID";"femaleID";"parent1ID";"parent2ID";"parent3ID";"min_nr_ad_feeding";"information";"year";"day_nest_build_start";"month_nest_build_start";"day_raw_nest";"month_raw_nest";"day_full_nest";"month_full_nest";"weight_clutch";"day first egg";"month first egg";"accuracy first egg";"number of eggs";"days laying eggs";"day_incubation_start";"month_incubation_start";"accuracy_incubation_start";"day hatching first egg";"month hatching first egg";"accuracy_hatching";"days hatching chicks";"number of nestlings_early";"age of nestlings_early";"age difference";"number of nestlings_late";"age of nestlings_late";"number of fledglings";"day of fledging";"month of fledging";"accuracy fledging";"day_egg_loss";"month_of_egg_loss";"accuracy_date_egg_loss";"cause of egg loss";"day_of_death_nestlings";"month_of_death_nestlings";"accuracy_data_death_nestling";"cause of death nestlings";"notes";"owner_data";"incubation_temp";"microclim_temp";"nest_camera";"min_nr_nestl_late"
76;"TiefenbachM_18b";"TiefenbachM1SSWwallL";"Montifringilla nivalis";;;;;"N   566736";"N   566736";;;;;2018.00;;;;;;;;;;;;;;;;;;;;;;;;;;"30";7.00;20.00;;;;;;;;;;;;;;
77;"GrimselSidTopSSW0stbe4th_18a";"GrimselSidTopSSW0stbe4th";"Montifringilla nivalis";;;;;;"unringed";;;;;2018.00;;;;;;;;;;;;;;;;;;;;;;;;;;"30";6.00;4.00;;;;;;;;;;;;;;
78;"GrimselSidTopSSW1ststbe3rd_18a";"GrimselSidTopSSW1ststbe3rd";"Montifringilla nivalis";;;;;;"unringed";;;;;2018.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;"FluelaHotelSWrobe5th_18a";"FluelaHotelSWrobe5th";"Montifringilla nivalis";;;;"unringed";"unringed";"unringed";"unringed";;;;2018.00;;;;;;;;;;;;;;;;;;;;;;;;;;"26";7.00;7.00;;;;;;;;;;;;;;
101;"Furka15_19";"Furka15";"Montifringilla nivalis";;;;;;"alusilverr";;;;;2019.00;;;;;;;;31.00;5.00;2.00;;;;;;18.00;6.00;0.00;;5.00;"7";;"5";"20";5.00;"8";7.00;1.00;;;;;;;;;"Ausflug 1. Nestling bei Kontrolle";;;;;
102;"BarnValais1_19";"BarnValais1";"Montifringilla nivalis";;;;;;"unringed";;;;;2019.00;;;;;;;;16.00;6.00;2.00;;;;;;3.00;7.00;1.00;;4.00;"1";;"4";"12";4.00;"21";7.00;1.00;;;;;;;;;"""Kamera checken; Daten auf externer Festplatte""";;;;;
103;"StelvioNP_DS_19";"StelvioNP_DS";"Montifringilla nivalis";;;;;"N   588055";;;;;;2019.00;;;;;;;;30.00;5.00;3.00;;;;;;11.00;6.00;2.00;;;;;"4";"20";4.00;"3";7.00;1.00;;;;;;;;;"4 chicks at 1.7. 20 days old";;;;;
104;"Furka5_19";"Furka5";"Montifringilla nivalis";;;;"N   544315";"unringed";;;;;;2019.00;;;;;;;;4.00;6.00;1.00;4;;;;;21.00;6.00;0.00;;4.00;"3";;"4";"20";4.00;"11";7.00;0.00;;;;;;;;;"Ausflug 1. Nestling vor Kontrolle";;;;;
105;"Jenatsch1_19";"Jenatsch1";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;15.00;7.00;7.00;3;;;;;;;;;;"NA";;"NA";"NA";0.00;"NA";;;;;;;;;;"not hatched";"Nestlinge nicht geschlüpft, am 13.08.19 immer noch 3 Eier im Nest";;;;;
106;"Bonistocklift13_19";"Bonistocklift13";"Montifringilla nivalis";;;;;;"unringed";;;;;2019.00;;;;;;;;23.00;5.00;2.00;;;;;;9.00;6.00;1.00;;;"NA";;"NA";"NA";;"29";6.00;0.00;;;;;;;;;"min. 3 fledglings";;;;;
107;"Erzegglift3_19";"Erzegglift3";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;30.00;5.00;1.00;;;;;;11.00;6.00;1.00;;;"NA";;"NA";"NA";;"1";7.00;1.00;;;;;;;;;"Accuracy of fledgling stimmt, alles andere berechnet";;;;;
108;"Erzegglift8_19";"Erzegglift8";"Montifringilla nivalis";;;;"N   630020";;;"unringed";;;;2019.00;;;;;;;;31.00;5.00;2.00;;;;;;16.00;6.00;2.00;;;"NA";;"3";"18";;"6";7.00;2.00;;;;;;;;;"""min. 3 fledglings; Alter von fledgling von Fotos > day and accuracy of fledging, alles andere berechnet""";;;;;
109;"TannenschildA_19";"TannenschildA";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;29.00;5.00;7.00;;;;;;15.00;6.00;6.00;;;"NA";;"NA";"NA";;"12";7.00;6.00;;;;;;;;;;;;;;
110;"BonistockA_19";"BonistockA";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;23.00;5.00;6.00;;;;;;10.00;6.00;5.00;;;"NA";;"NA";"NA";;"3";7.00;5.00;;;;;;;;;;;;;;
111;"ChringenB_19";"ChringenB";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;29.00;5.00;11.00;;;;;;15.00;6.00;10.00;;;"NA";;"NA";"NA";;"6";7.00;10.00;;;;;;;;;;;;;;
112;"ChliHochmadA_19";"ChliHochmadA";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;29.00;5.00;11.00;;;;;;15.00;6.00;10.00;;;"NA";;"NA";"NA";;"6";7.00;10.00;;;;;;;;;;;;;;
113;"TieraelpligratE_19";"TieraelpligratE";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;19.00;5.00;2.00;;;;;;5.00;6.00;2.00;;;"NA";;"NA";"NA";;"8";7.00;2.00;;;;;;;;;"Day and Accuracy of fledging stimmt, alles andere berechnet";;;;;
114;"RauStoeckliNW_19";"RauStoeckliNW";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;19.00;5.00;2.00;;;;;;5.00;6.00;2.00;;;"NA";;"NA";"NA";;"8";7.00;2.00;;;;;;;;;"Day and Accuracy of fledging stimmt, alles andere berechnet";;;;;
115;"IlexSW_19";"IlexSW";"Montifringilla nivalis";;;;"N   544309";;"unringed";"alusilverr";;;;2019.00;;;;;;;;9.00;6.00;2.00;;;;;;26.00;6.00;1.00;;;"NA";;"NA";"NA";;"19";7.00;1.00;;;;;;;;;;;;;;
116;"IlexNW_19";"IlexNW";"Montifringilla nivalis";;;;;"N   566703";"alusilverr";"alusilverl";;;;2019.00;;;;;;;;6.00;6.00;7.00;;;;;;23.00;6.00;7.00;;;"NA";;"NA";"NA";;"14";7.00;7.00;;;;;;;;;;;;;;
117;"Haus8SW_19";"Haus8SW";"Montifringilla nivalis";;;;;;"unringed";;;;;2019.00;;;;;;;;6.00;6.00;7.00;;;;;;23.00;6.00;7.00;;;"NA";;"NA";"NA";;"14";7.00;7.00;;;;;;;;;;;;;;
118;"CarexSW_19";"CarexSW";"Montifringilla nivalis";;;;;;"unringed";;;;;2019.00;;;;;;;;9.00;6.00;2.00;;;;;;26.00;6.00;1.00;;;"NA";;"NA";"NA";;"19";7.00;1.00;;;;;;;;;;;;;;
119;"Grimsel_church_behind_Grim2_19";"Grimsel_church_behind_Grim2";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;6.00;6.00;2.00;;;;;;23.00;6.00;2.00;;;"NA";;"NA";"NA";;"14";7.00;2.00;;;;;;;;;"Day and Accuracy of fledging stimmt, alles andere berechnet";;;;;
120;"Grimsel_Staumauer_19";"Grimsel_Staumauer";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;23.00;5.00;9.00;;;;;;9.00;6.00;9.00;;;"NA";;"NA";"NA";;"NA";;;;;;;;;;"probably nest flooded";"am 25.06.19 Nest überflutet, Nestlinge überlebt???";;;;;
121;"SidelhornbahnBergstation_19";"SidelhornbahnBergstation";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;29.00;5.00;4.00;;;;;;15.00;6.00;3.00;;;"NA";;"NA";"NA";;"6";7.00;3.00;;;;;;;;;"""Christian Nest entdeckt: Datum etrste Beobachtung der Fütterung 25.6. (am 02.07.2019: Schneesperlinge füttern nur sehr wenig); 09.07.2019: Keine Schneesperlinge mehr beobachtet aber 2 Alpendohlen, ausgeflogen oder Nest aufgegeben""";;;;;
122;"Jochpass_Lift_Masten5_19";"Jochpass_Lift_Masten5";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;23.00;5.00;4.00;;;;;;9.00;6.00;4.00;;;"NA";;"NA";"NA";;"30";6.00;4.00;;;;;;;;;"Day and Accuracy of fledging stimmt, alles andere berechnet";;;;;
123;"Jochpass_Lift_Masten12_19";"Jochpass_Lift_Masten12";"Montifringilla nivalis";;;;;;"unringed";;;;;2019.00;;;;;;;;1.00;6.00;3.00;;;;;;17.00;6.00;3.00;;;"NA";;"NA";"NA";;"8";7.00;3.00;;;;;;;;;"Day and Accuracy of fledging stimmt, alles andere berechnet";;;;;
124;"AlpeCarorescio_GebaeudeN_19";"AlpeCarorescio_GebaeudeN";"Montifringilla nivalis";;;;;;"unringed";;;;;2019.00;;;;;;;;23.00;5.00;10.00;;;;;;9.00;6.00;10.00;;;"NA";;"NA";"NA";;"30";6.00;10.00;;;;;;;;;"""Day and Accuracy of haching stimmt, alles andere berechnet (basierens auf einer Beobachtung: 19.06.19 Adulte füttern); eventuell Beobachtung von Hobbyornithologen einbeziehen: 1. Datum 'Adulte füttern'???""";;;;;
125;"Fluela_Hotel_1_19";"Fluela_Hotel_1";"Montifringilla nivalis";;;;;;"unringed";;;;;2019.00;;;;;;;;3.00;6.00;0.00;;;;;;16.00;6.00;0.00;;;"NA";;"NA";"NA";;"6";7.00;0.00;;;;;;;;;"Day and Accuracy of fledging stimmt (Infos von Hotelier), alles andere berechnet";;;;;
126;"GrimselOberaarbahn_rechts_19";"GrimselOberaarbahn_rechts";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;10.00;7.00;8.00;;;;;;27.00;7.00;8.00;;;"NA";;"NA";"NA";;"17";8.00;8.00;;;;;;;;;"Day and Accuracy of haching stimmt (basierend auf Beobachtungen von Fütterungen: 05. und 09.08.19), alles andere berechnet";;;;;
127;"RothornE_A_19";"RothornE_A";"Montifringilla nivalis";;;;;;;;;;;2019.00;;;;;;;;30.00;6.00;9.00;;;;;;15.00;7.00;9.00;;;"NA";;"NA";"NA";;"5";8.00;9.00;;;;;;;;;"Day and Accuracy of hatching stimmt (basierend auf Beobachtungen von Fütterungen: 25. und 26.07.19), alles andere berechnet";;;;;
